Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
1.0,1.0,1.2641041401194418e-10,7910740644.40223,0.0
4.829574769900489,0.0,0.7267076954873088,6.64582857714465,3.0151658947374926e-11
0.32258522454893795,0.0,0.5642081697765873,0.5717485882501026,0.5674923119506081
0.03523339193472823,0.0,0.09662380647353254,0.3646450416376367,0.7153763881139077
0.22154407030140957,0.0,0.11501681557295348,1.9261885246760932,0.054080838154956234
0.18628333513131975,0.0,0.0929977136613053,2.003095858998832,0.04516700039198507
-0.06347351170876588,0.0,0.07032077812629643,-0.9026281193130026,0.3667232974974155
-0.09544041735694642,0.0,0.10890175092069018,-0.876390108974949,0.38081799357699797
0.16926096591885326,0.0,0.0983669416770194,1.7207098546848103,0.08530348723723247
-0.24778157288347022,0.0,0.09500925517478853,-2.6079730067099933,0.009108013643727597
-0.05161281081386636,0.0,0.06886192355788606,-0.749511604486042,0.4535489069632901
-0.3394539178825622,0.0,0.08527911189667445,-3.9805048426612375,6.876906374353453e-05
-0.13933050121178464,0.0,0.09257093708467186,-1.50512143011303,0.13229286033550292
1.346871254718145,0.0,0.09262995407378181,14.540342464656002,0.0
0.004263991852653572,0.0,0.06417659369945286,0.0664415421083641,0.9470262974320736
-0.013518083427590174,0.0,0.053818702798461494,-0.25117817272951093,0.8016763593531744
-0.02247180827766612,0.0,0.044449737380969676,-0.5055554791036179,0.6131687423303065
-0.0796484444643642,0.0,0.1520403185163793,-0.5238639674106159,0.6003731581505845
-0.06669531227814454,0.0,0.12491066089652733,-0.5339441149334176,0.5933801993769747
-0.11086149174171868,0.0,0.1374966739332933,-0.8062848981750882,0.42007859614348053
-0.21162769311294247,0.0,0.1430290928130289,-1.4796129161609612,0.1389765775590024
0.5670770295930435,0.0,0.19875206423394945,2.853188125510695,0.004328298985318169
0.27912279983713156,0.0,0.210397063419421,1.3266477929908538,0.18462521827893896
-1.0693966014751843,0.0,0.5668965133001204,-1.886405325109198,0.05924035553085627
-1.2289192749949212,0.0,0.6725932748303158,-1.827135835256392,0.06767934841367063
2.4966533815593235,0.0,1.3913209872084762,1.7944481571923732,0.07274166631266099
1.0,1.0,1.041577582135191e-15,960082107326121.0,0.0
